id,user_id,tracking_number,courier_service,origin,destination,status,delivered_at,expected_delivery_date,received_at,category,created_at,updated_at
1,145,TRK813095986,Yanwen,Beirut,Helsinki,Cancelled,,,,Fragile,2022-08-20 00:00:00,2022-08-27 00:00:00
2,624,TRK152190906,USPS,Sydney,Jeddah,Received,2023-02-16 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00,Fragile,2023-02-12 00:00:00,2023-02-24 00:00:00
3,86,TRK447482038,Ninja Van,Manila,Beirut,Received,2023-08-24 00:00:00,2023-09-18 00:00:00,2023-10-01 00:00:00,Heavy,2023-08-21 00:00:00,2023-08-31 00:00:00
4,326,TRK705590604,CityLink,Hong Kong,Amsterdam,Received,2022-11-12 00:00:00,2022-12-01 00:00:00,2022-12-04 00:00:00,Fragile,2022-11-06 00:00:00,2022-11-18 00:00:00
5,404,TRK010994690,iMile,Shanghai,Casablanca,Cancelled,,,,Fragile,2023-01-03 00:00:00,2023-01-10 00:00:00
6,203,TRK784419872,India Post,Amsterdam,Irbid,Delayed,2023-01-22 00:00:00,2023-03-06 00:00:00,2023-03-18 00:00:00,Heavy,2023-01-19 00:00:00,2023-02-06 00:00:00
7,701,TRK751612939,Delhivery,Kuwait City,Cairo,Delayed,2023-04-28 00:00:00,2023-06-16 00:00:00,2023-06-29 00:00:00,Heavy,2023-04-24 00:00:00,2023-05-10 00:00:00
8,715,TRK934259403,USPS,Amsterdam,Buenos Aires,Pending,,,,Heavy,2023-09-03 00:00:00,2023-10-24 00:00:00
9,687,TRK499827782,Fetchr,Melbourne,Vienna,Cancelled,,,,Non-Fragile,2022-11-07 00:00:00,2022-11-13 00:00:00
10,964,TRK498068825,Gati,Buenos Aires,Rome,Received,2022-08-25 00:00:00,2022-10-11 00:00:00,2022-10-11 00:00:00,Non-Fragile,2022-08-17 00:00:00,2022-09-02 00:00:00
11,881,TRK863794973,DTDC,Bangkok,Irbid,Delayed,2023-05-13 00:00:00,2023-06-25 00:00:00,2023-07-02 00:00:00,Non-Fragile,2023-04-30 00:00:00,2023-05-18 00:00:00
12,352,TRK291987237,Skynet,Helsinki,Casablanca,Delayed,2023-11-09 00:00:00,2023-12-04 00:00:00,2023-12-11 00:00:00,Perishable,2023-11-02 00:00:00,2023-11-26 00:00:00
13,172,TRK418080798,JNE Express,Jeddah,Doha,Delivered,2022-09-07 00:00:00,2022-10-13 00:00:00,,Heavy,2022-08-27 00:00:00,2022-10-02 00:00:00
14,141,TRK438193828,DHL eCommerce,Riyadh,Berlin,Pending,,,,Non-Fragile,2024-07-03 00:00:00,2024-07-24 00:00:00
15,1,TRK781686644,Yodel,Sydney,Abu Dhabi,Received,2024-04-24 00:00:00,2024-05-15 00:00:00,2024-05-17 00:00:00,Heavy,2024-04-10 00:00:00,2024-05-02 00:00:00
16,315,TRK142219598,Qxpress,Geneva,Oslo,Pending,,,,Non-Fragile,2023-12-09 00:00:00,2023-12-12 00:00:00
17,792,TRK460380575,Saudi Post,Zarqa,Helsinki,Pending,,,,Perishable,2024-05-15 00:00:00,2024-06-19 00:00:00
18,648,TRK670789689,Ninja Van,Brussels,Mumbai,Delayed,2023-12-15 00:00:00,2024-01-07 00:00:00,2024-01-19 00:00:00,Perishable,2023-12-06 00:00:00,2023-12-25 00:00:00
19,817,TRK278232534,Canada Post,Zurich,Stockholm,Received,2023-01-16 00:00:00,2023-02-14 00:00:00,2023-02-16 00:00:00,Perishable,2023-01-04 00:00:00,2023-02-14 00:00:00
20,164,TRK797711302,EMS,Casablanca,Toronto,Delivered,2023-09-02 00:00:00,2023-10-27 00:00:00,,Non-Fragile,2023-08-30 00:00:00,2023-09-24 00:00:00
21,679,TRK680383485,Asendia,Nairobi,Toronto,Cancelled,,,,Heavy,2023-01-19 00:00:00,2023-01-26 00:00:00
22,708,TRK817248333,SMSA Express,Stockholm,Shanghai,Cancelled,,,,Fragile,2024-02-02 00:00:00,2024-02-11 00:00:00
23,833,TRK562610199,PostaPlus,Tokyo,Muscat,Delivered,2023-07-20 00:00:00,2023-08-03 00:00:00,,Perishable,2023-07-12 00:00:00,2023-08-07 00:00:00
24,753,TRK890755013,4PX,Singapore,Delhi,Pending,,,,Heavy,2024-08-15 00:00:00,2024-09-10 00:00:00
25,669,TRK487872503,La Poste,Toronto,Casablanca,Delivered,2024-08-11 00:00:00,2024-09-03 00:00:00,,Fragile,2024-07-31 00:00:00,2024-08-22 00:00:00
26,107,TRK751520613,PostNL,Beijing,Helsinki,Delivered,2022-10-26 00:00:00,2022-11-26 00:00:00,,Fragile,2022-10-19 00:00:00,2022-11-18 00:00:00
27,810,TRK662484660,DHL,Tokyo,Zurich,Cancelled,,,,Non-Fragile,2022-11-18 00:00:00,2022-11-25 00:00:00
28,719,TRK792432534,Blue Dart,Oslo,Baghdad,Pending,,,,Heavy,2023-08-19 00:00:00,2023-09-27 00:00:00
29,5,TRK706108082,Kerry Express,Zurich,Johannesburg,Cancelled,,,,Perishable,2024-03-16 00:00:00,2024-03-23 00:00:00
30,936,TRK469062569,Shopee Xpress,Sharjah,Los Angeles,Cancelled,,,,Perishable,2023-02-03 00:00:00,2023-02-09 00:00:00
31,584,TRK318879615,PostNL,Vienna,Manama,Pending,,,,Non-Fragile,2023-01-23 00:00:00,2023-01-30 00:00:00
32,990,TRK182493103,Jeebly,Sydney,Casablanca,Cancelled,,,,Heavy,2024-07-17 00:00:00,2024-07-18 00:00:00
